Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 08/15  13:00:00,4020965820.878375,0.0,271557214.2245499,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,107527307.16843215,163298041.3778902,116904407.82517325,70757501.60034278,638784.3622298142,70118717.23811299 
 08/15  14:00:00,4033368386.3221876,0.0,277487865.29843029,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,109806747.58936017,167490515.32689507,116904407.82517325,47360880.94512349,0.0,47360880.94512349 
 08/15  15:00:00,4042680114.0171296,0.0,281548730.67842909,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,111946357.0773679,170601768.1538298,116904407.82517325,39473796.452382389,0.0,39473796.452382389 
 08/15  16:00:00,4216657491.4138128,0.0,280277473.6262569,1614839557.0092962,0.0,1614839557.0092962,307999384.6153846,113657968.65152316,168139142.67688234,116904407.82517325,55432754.48910523,0.0,55432754.48910523 
 08/15  17:00:00,3783128649.943555,0.0,267659987.4511396,1255986322.1183415,0.0,1435412939.5638197,439999120.8791207,105366536.64127273,161799335.4646875,116904407.82517325,35804095.37124414,4284135.588871105,31519959.782373039 
 08/15  18:00:00,3008352046.133546,0.0,221021171.07262127,897133087.2273873,0.0,1076559704.672864,439999120.8791207,103907369.5922554,152827184.86412377,116904407.82517325,165914133.77920989,134445353.85867457,31468779.920535335 
 08/15  19:00:00,2869191833.613929,0.0,146588567.8600503,897133087.2273873,30757200.0,1076559704.672864,351999296.7032966,103907369.5922554,145342199.73290167,116904407.82517325,333315027.0744515,317575587.44991007,15739439.624541484 
 08/15  20:00:00,2441569344.695462,0.0,106979264.27476731,538279852.336432,184543200.0,897133087.2273873,351999296.7032966,103907369.5922554,141822866.73614998,116904407.82517325,647309912.7929249,623718856.9805555,23591055.812369396 
 08/15  21:00:00,2359038946.229401,0.0,111641852.92930055,538279852.336432,184543200.0,897133087.2273873,263999472.52747248,103907369.5922554,142629703.7913799,116904407.82517325,692169713.5397799,676465177.0926453,15704536.447134663 
 08/15  22:00:00,1257683967.8191255,0.0,0.0,179426617.44547747,184543200.0,717706469.7819098,175999648.3516483,0.0,8032.240090117997,0.0,7881049.618759579,0.0,7881049.618759579 
 08/15  23:00:00,1079970833.9438353,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,87999824.17582415,0.0,8031.263362692086,0.0,7880571.315648999,0.0,7880571.315648999 
 08/15  24:00:00,1035970920.6283347,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,43999912.087912078,0.0,8030.035774188508,0.0,72000.0,0.0,72000.0 
 08/16  01:00:00,1035970920.912971,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,43999912.087912078,0.0,8030.320410367202,0.0,7881046.862943657,0.0,7881046.862943657 
 08/16  02:00:00,1035970922.7519343,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,43999912.087912078,0.0,8032.159373781426,0.0,7880570.598127328,0.0,7880570.598127328 
